Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
83e334f0f39f6a0f4cc83d61862cd94ba3715088ab9226c20749031c2d67aa17,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5f2201fb90624d77b5706fe03d1de4e0e72b3ed7aaf17af3fce9b46c349ecb2f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
5f2201fb90624d77b5706fe03d1de4e0e72b3ed7aaf17af3fce9b46c349ecb2f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
7e303e2ac573cfeb2b3a61c4b04b14a1cd4523a8e810145f8b489690e30c6cdd,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
75af40f58d877a2198b0c671c18ad5c3ab2774c71d4c3694b1b4f352a8196566,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
441da837a4597788be923987f8caf72cac7489058164897d88bbbe00c91a4cf5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d9db81586993f72231e7ba2dd40c3c636511f2971f47d47084b3d812d25fb543,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
bfcdbe0d43bd191282a2fd5414169b203339db0495616df0d4ebf4b168b19dc5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
ea77a3275406779c0c1051c3d8507a21b8fbf32c4bb2121c2a69ec08d7f58f95,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
245068385120a4b44b7b1887c318f5a1d5703504526c0184411f5464d102c289,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
7cf101e94715a994305b81a9e4539ce3e96583d6bf86a074c825d5fea40d1b52,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
c16794aa2733c69934faf90b2204f242f9f881ec4106744ad81c229cb32c20fa,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
c463777291ba6021ea709690fa478b9bafca7f7145f651749e5b8a927812bc1e,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
940dae3a30745fb17824e06679332c8a9a9467c594bf3bdd440ee0febe805b28,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
0d64e32090db4dc0e2a72bf6b3cfe885d6884f652f5704307ecd3e05c59615eb,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
3b96dfc9641f1bf1a03a5ab3eb9f0f18052c40d2772b1fecdf48fe1582b74981,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
16984df8f9d6ff4836ff6a11afb65e93177912498709489b3e74705a791d03e9,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
103b1f3e435ba2016203bb05cd32cf4b1156e8f853dd1cf00e5b0a0a10142d8b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
40ffdbf1d02fc8d1bb8dded70c28ed5c7609d1606c4e21e5dcbb0e649fb630d5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
b0141c0e828e28ac5fe354f09963d506bd56b7613c473a44b886cf96d36a91b4,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
f9977855d95eb5b2716968e1c076a0341addeefc77881035b17ac7f390fd236d,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d77feb13af641b1bbde6ab505fa3181268c83ff59cba91aa404677b3cf02d836,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
0f3d880ad02831f7c5f7a05ae703efe79ea8e47b84a18229dcce40b0e84de536,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
a3819d995970b31e599d1e5bbb03d341361906d697969dd05d66315c09a99c0a,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
da2f5a6b82c105d9130d6807a656af4e34b6ab9c2fe7101b8d0a62c4e1ef0f6f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
6f3d59a5586563518ea8d9b8c28692c9eaea2b8d6571cb6172defb1f14a049df,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
2ee2482b692e5465ee847f5964a02216ec17cb866811faca941506e5c19254ed,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
bbdcb4d5bc900a7e3ef3b2b5f9dccdfd64ec1a9916736d52b7197cc08b069b20,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
b03736e9cf5f269d1d64cff59356dfab745be97c7645f5ab53c623247623958d,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
daa3615991eaae9a304f5066bdd2b4879688ff8e700abd0e2864a028b33d37b8,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
6b0b5507c95b56a2b8783903c1477e8592ce212dcbc41a9ea42a7df00339ec9a,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
439b622d31b23eb3b84ad899dbfafee995408ac600ec3f306529ff1777160c94,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
8398ee6ebd586b26eb35bbf77546a6187b8207da0ad8ade5878c2757e5285191,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
efb16c0989c0b6415bb35a3725d5b94d19433dfc517c622aeeae4b80ea145ca0,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
4141fc716834d582d68f9c93996fd14f2bf081243b49c0f685ab9d521ea66849,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c82aa63a839372b188ab5ff2ccb8d308bcf47ce927c01435c1ab1c057701c14b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
07f4666fa21e39183ced6dd4b97a93b61b00a8521471aad45959012e12a829d4,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
9b362b04c220fd97a71832e6b277e3731c18e7db2a307292f669d1cc4c281e33,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
7a0f249bc57a0b04754c8c3c50148759deb1253c97ac0846ac40b28891f1eade,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
759f46a71fc8ca02d18f7b310a5a030e98027c345a282fcbddfe2f606ef21d4c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
468795abfb7f9fddfb3c3195089a84729ec54747f538e56244231fab71aa8538,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
25ef88996bf8152ae17f4029efd7a7cd73f76f13461c88632b55d183fe0f6d48,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
6b0b5507c95b56a2b8783903c1477e8592ce212dcbc41a9ea42a7df00339ec9a,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
6b0b5507c95b56a2b8783903c1477e8592ce212dcbc41a9ea42a7df00339ec9a,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
26b274f0898da018fb6edc95e6df02be55540b29da183c7ace5a7efe5d532fd5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
260cf6d2a968b6f8670535a90cac24336121c9ec290554f2e2265e4cc45d6844,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
3c350f90794dc2f53ae39c78af89a58142e94cef1f9563a4e8d1399a603718e6,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
5f6bfe803cbb81d8531e4689775b081251b88ae0ebfb3057a167f4346e7d760b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1d698b7924d68f30268d19bdbed98dae2e6f40a1ff575507ae418f5a83499221,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
56580f99a1abdebadbd33a1e167500b2e9074f410e80195a47885ea89e6a74b6,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
